POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,COMMENTS,PLATFORM
h.wool_ | 2025-07-30 | @bbiibeee @goexxy 우리 이 세트인가부당 ㅋㅋㅋㅋㅋㅋㅋ
____najoo | 2025-07-30 | @ss.__.s 배고파",Instagram
hongji_2025-07-29,,"크기부터 미친 두바이 베이글산도에 쫀득빵💚 *사장님께서 맛보라고 보내주신 건데 공익을 위해 올립니다,,🤤 🏷️","#부산, #허대빵, #asmr, #mukbang, #asmrmukbang, #먹방, #eatingshow, #モッパン, #디저트먹방, #두바이초코, #베이글산도, #쫀득빵, #부산빵지순례",hongji,2025-07-29,7668,"ssshxe | 2025-07-30 | 이건진짜미쳣따..😍
a_h_j_1129 | 2025-07-29 | 이거 진심 너무 맛있어 보이는데 어디쪽에 있어요? ㅎㅎㅎ 가서 먹어 봐야 되게써요 ㅎㅎㅎ
chu.berup_jmt | 2025-07-29 | 아니 ㅋㅋㅋㅋ 두께 ㅁㅊㅋㅋㅋ
hj_11_22 | 2025-07-29 | 우유 맛별로 먹어주세요 36트❤️❤️
lse_t.diary | 2025-07-29 | 아니 진짜 비주얼 뭐에요!! 근데 홍지님 비주얼이 이겼어요 진짜 요즘 영상 너무 예쁘세요 키티까지><
y0ur_moon_ | 2025-07-29 | 홍지 언니가 두바이 초코를 먹는게 아니라 두바이 초코가 언니를 잡아먹는 너낌,, 진짜 왕크 왕맛 두바이 초코,, 폭룡적 비주얼,,🥹
nx3uio | 2025-07-29 | 아니 베이글샌드 ㅠ 미친거에요😢 진짜 존맛이겟자나🤤💚🤎
nec2ssary9irl | 2025-07-29 | 아 미친!!! 언니 또 맛잇는 거 말아오셧다 두바이에 허대빵 베이글산도면 완전 믿먹이잖아요 😍😍
jjulini_ | 2025-07-29 | 미쳤다
ho_t_girl | 2025-07-29 | 아마싯겟다..
bori_xxn | 2025-07-29 | 진짜 베이글샌드 얼굴이 왜이리 사랑스럽냐구
iiiha_oo | 2025-07-30 | 옹니 오느른 태닝초코키티 그자체에용 히히 🥥🍫🍮🤎💛
swa_0.0 | 2025-07-30 | @98.o6.16
h.wool_ | 2025-07-30 | @bbiibeee @goexxy 이고 ㅎㅎㅎ
ma.aaary | 2025-07-29 | @cafe_ohbe 팔아주면 좋게따 사장님 ………
0_j812 | 2025-07-29 | @da_kkam2 와
____najoo | 2025-07-30 | @ss.__.s 울가게 밑이야..
_j.hwaa_ | 2025-07-29 | @sso._.330 ㅠ
skatjgk_ | 2025-07-29 | 여기 택배 되나요?!
andoyeji | 2025-07-30 | @psxuyeon
sstar_jinn | 2025-07-29 | @jeepxpeugeot
__siia_2 | 2025-07-30 | @mina_444425
taeyeon._.j | 2025-07-30 | @lxxlim
sing_note_s2 | 2025-07-29 | 어제 갔는데 매장 다 털렸있었다는것...
jooyoungchoi_ | 2025-07-31 | @dlskawns 너어무먹고싶다ㅜㅜㅜ",Instagram
hongji_2025-07-27,,봄날엔 약과에 구름퐁 올려먹기🤩 식감 좋고 달달한데 맛있는 디저트 땡길 때 요로케 먹어보세요 호호! 아주 짱맛도리🤍 🏷️,"#봄날엔, #초코퐁당구름크림떡, #asmr, #mukbang, #asmrmukbang, #먹방, #eatingshow, #モッパン, #약과, #크림떡, #디저트먹방, #꿀조합, #구름크림떡, #여수언니",hongji,2025-07-27,1834,"bori_kie | 2025-07-27 | 저 항상 포니테일 하고다니는데 언니를 보니까,, 할말을 잃게 되. 너무 이뻐!
a_h_j_1129 | 2025-07-27 | 봄날엔 안 먹어 봤는데 너무 맛있어 보이네요 ㅎㅎ 저도 먹어 봐야 되게써여 ㅎㅎㅎ
hanuel_04028 | 2025-07-29 | 두바이 초코 컵 ㅈㅂ 먹어주세요ㅜㅜㅜ 소리 개좋을 것 같은데....😍😍
mukstar_md | 2025-07-28 | 오옹?? 요거꿀떡 얹어두 맛날까영,,,?😍
nec2ssary9irl | 2025-07-27 | 아 소리 넘 쭈아요... 저 초코퐁당 시리즈 아직 안 먹어봣는데 뭐가 쩰 마싯어요 웅니
hj_11_22 | 2025-07-27 | 우유 맛별로 먹어주세요36트 진짜 요즘 너무 잘 보고있고 언니 영상만 기달리는 중 빨리 구독 하고 싶은디 계속 못하는 중 담에 꼭 언니 구독 할께용!!❤️❤️
qxxcse | 2025-07-27 | 레전드 맛잘알 폼 미쳣다…,.
lse_t.diary | 2025-07-27 | 홍지님 포니테일 진짜 너무 예쁘세요 분홍색 티까지!!
bbaaa_nnggg | 2025-07-27 | 항상 챙겨볼때마다 생각하는건데.. 속눈썹니 너무 이쁘세요..ㅠㅠ🥹 혹시 따로 붙이신다면 정보 알 수 이쓸까욧???
_tgwbdk | 2025-07-28 | 흑발해주세요
butter_zip | 2025-07-28 | 이거보고 아침부터 약과 사는 사람이 되
hehehahaalwaysblur | 2025-07-28 | I WANT",Instagram
hongji_2025-07-26,,남자친구 손맛 가득한 집밥!🏠🍱,"#asmr, #mukbang, #asmrmukbang, #먹방, #eatingshow, #モッパン, #미역국, #오이소박이, #부추겉절이, #스팸, #도시락, #집밥, #homefood, #koreanfood",hongji,2025-07-26,3106,"y0ur_moon_ | 2025-07-26 | 헐 언니 집밥 먹방두 너무 좋아요❤️
a_h_j_1129 | 2025-07-26 | 집밥 진심 너무 맛있어 보이네요 ㅎㅎㅎ
_min._.eee | 2025-07-26 | 저도 오늘 미역국 먹었는데 .ᐟ.ᐟ 넘 맛있게 드시는거보니까 또 먹고싶네용 ㅠㅠ 진짜 언니 남친분 못하시는게 없는거같아요 대박이에요! 항상 행복하세요🫶🏻
cconte__seohyun | 2025-07-26 | 역시 집밥 마스터 셰프영 🧑‍🍳오늘 저녁 결정…스팸 계란 밥..와우 너무 맛있게따,,,💓💓
4ud1e | 2025-07-27 | 와.... 이시간에 뜨는거 진짜 반칙 와.......... 침 너무 나오는데..... 와..... 진짜맛잇겠다................ 언니 오늘도 넘 이쁘세요 진짜 너무 맛있게드시는거가탕요ㅠㅠㅠㅠ❤️❤️❤️❤️
arom_bake | 2025-07-26 | 집밥은 못참죠 마늘 들어간 미역국 진짜 맛있어요!!🤤저도 항상 마늘넣어서 먹는데 남자친구분 요리계의 금손 먹잘알 분이셔요 맛있게 먹는 홍지님 보면서 더 요리 즐겁게 하실거같아요♥️
yullee_on_ | 2025-07-26 | 저도 어릴때 케찹에 밥 비벼먹었어요!! 저만 그런게 아니었군용ㅋㅋㅋ
