POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,COMMENTS,PLATFORM
daonmum | 2025-07-14 | 와 잘 만드신거 같아요❤️ 중국 식재료중에 白凉粉이라고 투명한 묵? 같은 디저트에 많이 쓰이는게 있는데 그거로 하면 식감이 진짜 좋을거 같다는😍
x.gh_srr | 2025-07-14 | 성공!!!!🔥❤️
jeon_sooah05 | 2025-07-16 | 와~ 성공!
ktwizjiyoon | 2025-07-13 | 볼때마다 퀄리티가…..👍🏻
le.jwxdns | 2025-07-14 | 성공!
onvitt0730 | 2025-07-15 | 성공 !
jinyubin20 | 2025-07-13 | 성공인거같아요❤️❤️❤️
bagseou967 | 2025-07-13 | 언니 퀄리티가😍😍😍
seo.h110119 | 2025-07-14 | 성공인거 같아요!!👏🏻
try.9024 | 2025-07-16 | 성공
ki_.ys | 2025-07-18 | 성공
cosmecs.0 | 2025-07-16 | She talks so much my god😂😍😍
saet_star13 | 2025-07-14 | 성공❤️❤️❤️❤️👏
seo_dooin | 2025-07-15 | 성공",Instagram
fromseohee.csv_2025-07-12,,알알이 엮은 포도젤리? 수제 과일젤리 먹방ASMR (젤리는 고체에서 단순 선물 받았습니당🤭🫶🏻🍓✨),,fromseohee.csv,2025-07-12,6.9만,"gg0ji._.0115 | 2025-07-12 | 어디서 구매하셨어용! 너무 귀엽구 맛있어보여요
pink.tape_ | 2025-07-12 | 식감 소리 넘 좋은데요😍
mukstar_md | 2025-07-13 | 소리 넘 좋어여,,,ㅠㅠㅠ❤️❤️
hongji_yam | 2025-07-12 | 헐 과일모양 비누 드시는 줄 알구 깜짝 놀랐어요😮
min_j0316 | 2025-07-12 | 얼린거에요??
jiimca44y | 2025-07-13 | 청담언니가 만든 비누다 !
jooyoung0131 | 2025-07-12 | 오 신기해요😍
seongjihye72 | 2025-07-12 | 젤리어디꺼예요?
dx.s02 | 2025-07-14 | 순간 비누 먹는줄
le.jwxdns | 2025-07-12 | ❤️❤️
jaqueline_tuchapski | 2025-07-18 | Tem alguém do Brasil aqui 🇧🇷😜
dasom.10.23 | 2025-07-12 | 어디서구매를?
dhian_noviana | 2025-07-14 | Kejauhan gua kemarih""
buriedinmangoes | 2025-07-16 | 음식 씹을 때 입술 다물고 먹어주세요ㅠㅠ 쩝쩝소리 진짜ㅠㅠㅠㅠ
ls.hap7y | 2025-07-14 | @ddeb___ 나도 먹어보고 싶다..
ceddhgs | 2025-07-12 | 맛도 걍 그렇고 가격도 창렬임
h__u__o1 | 2025-07-12 | 청포도 반갈샷이 없어서 아쉬워요
intanfitri_ya | 2025-07-21 | Agak jijik ya bund denger suara kecap” dari mulut mbak nya walaupun seninya di situ 🙃. Gue bukan market nya :D
chantel__sierra | 2025-07-14 | Chewy 😍😍😍😍
konfettiperle35 | 2025-07-16 | Direkt eine klatschen bei dem geschmatze 🤢🤢🤢🤢🤢😡😡😡😡😡😡😡
soweon4842 | 2025-07-14 | 결혼 언제 해요 웅니?
best_ayumi | 2025-07-15 | Where to buy it?
pila_nyong | 2025-07-15 | 와...진짜 포도같은데요❤️
seongjihye72 | 2025-07-15 | 어디서구매하나요?
seoseunga942 | 2025-07-15 | 맛있겠다 젤리인가?
yanii_climbing | 2025-07-16 | 고체 맛있느데.... 왜 맛 별로라고 하지... 과일맛 나구 좋은디 ㅠㅠ
