COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE,AUTHOR_ID
185,anunu.kr.csv_2025-07-15,food_play88,와 진짜 궁금쓰 ㅋㅋㅋㅋㅋ,2025-07-16,anunu.kr
186,anunu.kr.csv_2025-07-15,cy.dana_,저거 미국 한인마트에 3개 묶음으로 팔던뎈ㅋ,2025-07-29,anunu.kr
187,anunu.kr.csv_2025-07-15,moooz_28,오 먹어보고 싶네요!!,2025-07-15,anunu.kr
188,anunu.kr.csv_2025-07-15,xvuu,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다시 생각해봐도 웃겨부러요 한국에도 들어와달라!!! 과일아스크림!!,2025-07-15,anunu.kr
189,anunu.kr.csv_2025-07-15,kittenkatten1,화장실에서 드시는건가요?,2025-07-15,anunu.kr
190,anunu.kr.csv_2025-07-15,klw._.05,오 궁금행,2025-07-15,anunu.kr
191,anunu.kr.csv_2025-07-15,haein0107,그거 젼언니가 먹고싶어하셨는데..,2025-07-15,anunu.kr
192,anunu.kr.csv_2025-07-15,2065._.625,그거 h mart 에 더 있는데염 ㅠ😢,2025-07-23,anunu.kr
193,anunu.kr.csv_2025-07-15,jnyxin_104,2빠,2025-07-15,anunu.kr
194,anunu.kr.csv_2025-07-15,lee.hyunsil,@jiheedas2 엌ㅋㅌㅌ쌤 이거에옄ㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-18,anunu.kr
195,anunu.kr.csv_2025-07-15,island.mee,@ji.n2e 몽골 헛다녀온느낌,2025-07-20,anunu.kr
196,anunu.kr.csv_2025-07-15,mmm_j26,@jmj_._._ 몽골 아이스크림 고,2025-07-15,anunu.kr
197,anunu.kr.csv_2025-07-14,cha_cha_______,요거트 땡긴다ㅠㅠㅠㅠㅠㅠ사러가야지,2025-07-14,anunu.kr
198,anunu.kr.csv_2025-07-14,hannahkim0926,요거트랑 수박이 진짜 존맛임 진짜로,2025-07-24,anunu.kr
199,anunu.kr.csv_2025-07-14,s2eulb_,요거트 통 손민수 하고 싶어요우🥲🫣🙇‍♀️,2025-07-14,anunu.kr
200,anunu.kr.csv_2025-07-14,jinsoooosnij,근데 저기 다먹었는데 통안에 남아있는거 좀 아깝지 않나요..?좀 그렇지만 전 저거 아까워서 끝까지 햛타 먹는데...,2025-07-20,anunu.kr
201,anunu.kr.csv_2025-07-14,kim_stxx2,와ㅋㅋㅋ통을 한국에서 정말 진심이시군요😂저도 요거트 사면 6개 들은거 그 자리에서 해치웁니다,2025-07-14,anunu.kr
202,anunu.kr.csv_2025-07-14,ggg_123.23,몽골 사람인데유 몽골 가셨다는게 너무 자랑스러움요 ㅜㅜ 유제ㅠㅜㅁ,2025-07-16,anunu.kr
203,anunu.kr.csv_2025-07-14,gmh6398,납작복숭아 먹어보고싶다,2025-07-14,anunu.kr
204,anunu.kr.csv_2025-07-14,idongug4191,맛없없,2025-07-21,anunu.kr
205,anunu.kr.csv_2025-07-14,mintpeachglass,와 과즙소리…허헝ㅠ,2025-07-27,anunu.kr
206,anunu.kr.csv_2025-07-14,ahnhaeyo,침 좔좔 나옴 기절,2025-07-18,anunu.kr
