VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM,KEYWORD_ID
아누누_20250401,일본 신상 깨먹는 하겐다즈,,아누누,2025-04-01,PT59S,358475,7589,52,youtube,189
아누누_20250331,동결건조 플레이트 드디어 먹어보기,,아누누,2025-03-31,PT1M,405072,7338,73,youtube,25
아누누_20250329,손모가지 걸어버린 하얼빈떡의 정체,,아누누,2025-03-29,PT1M,597202,9131,69,youtube,206
아누누_20250328,눈물의 파삭 먹방 🥲,,아누누,2025-03-28,PT59S,357704,8287,111,youtube,61
아누누_20250326,기대 이상인 편의점 삼색 소보로 마시멜로,,아누누,2025-03-26,PT57S,261316,6625,74,youtube,46
아누누_20250325,너무 달아서 요거트 먹을수 밖에없는 프랑스 정과,,아누누,2025-03-25,PT1M,682815,16611,87,youtube,735
아누누_20250323,현존하는 시판 대추야자커피 과연,,아누누,2025-03-23,PT1M59S,154327,3636,41,youtube,330
아누누_20250320,어른이 되면 꼭 우걱우걱 먹고싶었던 케이크,,아누누,2025-03-20,PT1M,408464,12626,109,youtube,895
아누누_20250319,끝까지 모른체하다 결국 먹게된 젤리,,아누누,2025-03-19,PT1M47S,413792,10755,67,youtube,798
아누누_20250318,금귤정과 뺨치는 금귤 동결건조,,아누누,2025-03-18,PT1M,402444,11281,154,youtube,25
아누누_20250317,아는 사람들만 먹는 밤에 먹는 커피,,아누누,2025-03-17,PT59S,322846,8173,65,youtube,891
아누누_20250316,파삭 오프라인 과연 망했을까,,아누누,2025-03-16,PT1M6S,237151,6033,59,youtube,178
아누누_20250315,얼린 초코 체리 스틱 요 말 먹,,아누누,2025-03-15,PT1M,239513,7346,65,youtube,842
아누누_20250312,하얼빈 요거트떡 이거 떡 맞냐구,,아누누,2025-03-12,PT1M,377724,8142,73,youtube,735
아누누_20250311,먹으면 리프레쉬 되는 바삭 쫀득 과일 초코스틱,,아누누,2025-03-11,PT59S,407960,11060,58,youtube,249
아누누_20250309,대왕 계란노른자 먹방,,아누누,2025-03-09,PT1M,444461,11203,108,youtube,61
아누누_20250304,스위즐스 동결건조 요거트 말먹,,아누누,2025-03-04,PT1M,260919,7290,101,youtube,25
아누누_20250301,이번엔 한국 대추씨로 커피 내려봄,,아누누,2025-03-01,PT2M50S,245069,6432,75,youtube,329
아누누_20250228,젤리유튜버가 운동할때 먹는 찰랑젤리,,아누누,2025-02-28,PT53S,134885,2561,28,youtube,798
아누누_20250227,빠싹 동결건조된 백도 요거트 야식,,아누누,2025-02-27,PT59S,392548,11361,101,youtube,25
아누누_20250225,거북이 메론빵 너무 귀 여 워!!!!!!!!!,,아누누,2025-02-25,PT1M,199915,7377,81,youtube,65
아누누_20250222,30일동안 요청받은 치즈당 카스테라,,아누누,2025-02-22,PT1M,239886,6931,85,youtube,156
아누누_20250221,미국 신맛사탕 빨간색이 진짜 시다고? @jeon_unni,,아누누,2025-02-21,PT59S,233936,7114,74,youtube,562
아누누_20250218,동결건조 왕딸기에 요거트 듬뿍,,아누누,2025-02-18,PT58S,272390,7132,81,youtube,25
아누누_20250217,미국 욕 나오는 신맛 사탕은 과연,,아누누,2025-02-17,PT1M,231320,5860,57,youtube,562
아누누_20250216,샤인머스캣은 얼린게 짱이구나,,아누누,2025-02-16,PT55S,156321,4575,63,youtube,95
아누누_20250216,한가득 올려주는 마시멜로우 초코라떼,,아누누,2025-02-16,PT58S,152787,4366,36,youtube,46
아누누_20250215,다이소(?) 과일 찹쌀떡 먹어보자,,아누누,2025-02-15,PT59S,215920,5008,59,youtube,249
아누누_20250214,쫀득 와플 4배 잘 늘어나게 만드는 법,,아누누,2025-02-14,PT1M,114751,3448,35,youtube,732
아누누_20250213,전언니님표 통귤정과에 파랑요거트,,아누누,2025-02-13,PT1M,1201748,32983,146,youtube,735
아누누_20250212,3번 취소당한 루바브 스위즐스 젤리 젤친놈이 구해줌,,아누누,2025-02-12,PT1M,383563,9412,54,youtube,116
아누누_20250211,유학파 친구가 연구해서 만든 한국판 크럼블쿠키,,아누누,2025-02-11,PT1M,300176,8759,66,youtube,163
아누누_20250210,전자렌지 돌린 빙산롱옌 요거트로 식혀먹기,,아누누,2025-02-10,PT59S,229372,6024,35,youtube,88
아누누_20250208,주욱 늘어나는 쫀득 와플,,아누누,2025-02-08,PT59S,156965,4672,52,youtube,732
아누누_20250208,음료 과일 무제한 무료 중국 찜질방의 함정,,아누누,2025-02-08,PT1M,332778,12902,63,youtube,249
아누누_20250207,젼언니표 스윗믹스 젤리로 바삭젤리 만들기,,아누누,2025-02-07,PT1M,948349,24962,94,youtube,798
아누누_20250206,컵 통째로 먹는 티라미수,,아누누,2025-02-06,PT59S,355301,11171,37,youtube,375
아누누_20250204,치킨 싫어하는 사람도 먹을수 있는 치킨,,아누누,2025-02-04,PT58S,215383,6280,36,youtube,874
아누누_20250202,햄버거 죄책감 덜하게 먹는 방법,,아누누,2025-02-02,PT11S,127337,3439,48,youtube,506
아누누_20250201,중국에 찐으로 파는 대왕버블티,,아누누,2025-02-01,PT58S,163279,4870,89,youtube,75
아누누_20250131,퐁실한 버섯 푸딩 먹는 방법,,아누누,2025-01-31,PT57S,162833,6158,47,youtube,508
아누누_20250130,먹기까지 한달 숙성이 필요한 샤베트,,아누누,2025-01-30,PT57S,148972,4331,42,youtube,584
아누누_20250128,편의점 동결건조 다 먹어보자,,아누누,2025-01-28,PT1M47S,246621,7436,43,youtube,25
아누누_20250128,콩물에 꽈배기 말아먹기가 맛있다고?,,아누누,2025-01-28,PT57S,177955,5983,69,youtube,908
아누누_20250125,초코는 안터지겠지?,,아누누,2025-01-25,PT1M,268363,6799,38,youtube,845
아누누_20250122,수건케이크 처음 먹어본 간식 유튜버의 반응,,아누누,2025-01-22,PT59S,141117,3910,53,youtube,107
아누누_20250121,젼언니님 아이스플랜트 레시피 따라먹기,,아누누,2025-01-21,PT59S,357711,12412,63,youtube,38
아누누_20250119,목포는 항구 아니고 맛집임,,아누누,2025-01-19,PT2M59S,166531,5780,63,youtube,430
아누누_20250116,드디어 우리나라에도 생긴 마시멜로 전문점,,아누누,2025-01-16,PT58S,908308,25015,166,youtube,46
아누누_20250115,조수석에서 먹기 좋은 간식 1위,,아누누,2025-01-15,PT1M2S,126728,3412,82,youtube,207
아누누_20250112,스위즐스 미니언 바나나맛도 있다고?,,아누누,2025-01-12,PT1M3S,164109,4806,65,youtube,70
아누누_20250111,젼언니님 덕에 먹어본 솜사탕 두바이,,아누누,2025-01-11,PT59S,384327,13400,70,youtube,562
아누누_20250110,구룡포가서 이거 안사오면 유자차임,,아누누,2025-01-10,PT1M3S,124719,4444,42,youtube,139
아누누_20250108,한개 12000원 일본 항아리 고구마,,아누누,2025-01-08,PT59S,163689,4943,32,youtube,232
아누누_20241229,한국에 상륙한 일본 인기 링고아메집,,아누누,2024-12-29,PT1M,192127,6303,45,youtube,409
아누누_20241227,꿀 주르륵 흐르는 고구마 아이스크림,,아누누,2024-12-27,PT59S,148585,4096,110,youtube,232
아누누_20241226,스위즐스 드럼스틱 전제품 다 먹어보기,,아누누,2024-12-26,PT59S,913655,27038,134,youtube,116
아누누_20241221,노브랜드 동결건조 요거트? 당장 검증 들어가,,아누누,2024-12-21,PT1M,191073,5887,40,youtube,25
아누누_20241220,스위즐스 드럼스틱 사워는 4배 맛있을까?,,아누누,2024-12-20,PT59S,327408,10828,80,youtube,116
아누누_20241219,얼린듯한 모양에 천상의 식감을 가진 채소,,아누누,2024-12-19,PT59S,460957,16628,181,youtube,651
아누누_20241214,요아정 숨겨진 찐 맛도리,,아누누,2024-12-14,PT59S,295294,9236,56,youtube,136
아누누_20241214,캔디드 크렌베리는 동결건조가 답이다,,아누누,2024-12-14,PT58S,354495,12935,79,youtube,25
아누누_20241213,한국 편의점에도 나와버린 과일스무디 기계,,아누누,2024-12-13,PT58S,154683,4474,33,youtube,114
아누누_20241207,찐 두바이 초콜릿 맛 맞추기 챌린지 @sisteryell,,아누누,2024-12-07,PT59S,981040,22810,46,youtube,148
아누누_20241204,트와이스랑 케익 만들어 봤습니당,,아누누,2024-12-04,PT1M57S,429718,17564,48,youtube,897
아누누_20241201,편의점 구워먹는 아이스크림,,아누누,2024-12-01,PT1M,226106,6666,60,youtube,628
아누누_20241128,초코 밀어주기로 한 위니비니 어드벤트 캘린더,,아누누,2024-11-28,PT1M,259175,8294,52,youtube,845
아누누_20241126,⁠ 먹고싶다 노래불렀더니 직접 만들게 된 동전오징어 토마토 @jeon_unni,,아누누,2024-11-26,PT2M20S,604327,20248,54,youtube,726
