VIDEO_ID,KEYWORD_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
홍지_hongji_20250511,1,쫀득쿠키에도 두바이초코가🤎#asmr #mukbang #asmrmukbang #먹방 #쫀득쿠키 #두바이초콜릿 #두바이초코 #간식추천 #dessert #dubaichocolate,,홍지 HONGJI,2025-05-11,PT1M34S,722,13,4,youtube
홍지_hongji_20250509,1,하도 알고리즘에 떠서 먹어보는 연어날치알무침🤤#asmr #mukbang #asmrmukbang #먹방 #연어 #연어먹방 #날치알 #불닭 #연어깍두기 #buldak #salmon,,홍지 HONGJI,2025-05-09,PT1M31S,2244,35,4,youtube
홍지_hongji_20250507,1,현남친이 만들어준 전남친 토스트ㅋㅋㅋ🫐🧀🍞#asmr #mukbang #asmrmukbang #먹방 #토스트 #전남친토스트 #레시피 #크림치즈 #블루베리콩포트 #recipe,,홍지 HONGJI,2025-05-07,PT1M26S,647,15,4,youtube
홍지_hongji_20250505,1,남자친구표 일식카레에 야무지게 싹싹김치🥬 #asmr #mukbang #asmrmukbang #먹방 #석박지 #배추김치 #김치맛집 #김치먹방 #kimchi #seokbakji,,홍지 HONGJI,2025-05-05,PT1M24S,1474,15,5,youtube
홍지_hongji_20250503,1,과일모찌 추천 1등 모찌이야기는 어떨까🧐 #asmr #mukbang #asmrmukbang #먹방 #과일모찌 #모찌 #찹쌀떡 #떡먹방 #mochi #tteok #딸기모찌,,홍지 HONGJI,2025-05-03,PT1M28S,6862,115,9,youtube
홍지_hongji_20250501,1,이마트에서 발견한 대왕 연어초밥🍣 #asmr #mukbang #asmrmukbang #먹방 #연어초밥 #대왕연어초밥 #연어 #초밥 #스시 #suishi #salmon,,홍지 HONGJI,2025-05-01,PT1M1S,717,15,7,youtube
홍지_hongji_20250429,1,메가커피에 나타난 마루는강쥐 케이크🍠🍰 #asmr #mukbang #asmrmukbang #먹방 #고구마케이크 #케이크먹방 #케이크 #디저트 #sweetpotato #cake,,홍지 HONGJI,2025-04-29,PT1M6S,4940,77,10,youtube
홍지_hongji_20250427,1,남자친구가 만들어준 간장새우장 리뉴얼버전🦐 #asmr #mukbang #asmrmukbang #먹방 #생새우 #간장새우 #새우장 #해산물 #shrimp #rawshrimp,,홍지 HONGJI,2025-04-27,PT1M13S,2088,30,6,youtube
홍지_hongji_20250425,1,출시하자마자 난리날 떡참 레전드 신메뉴🌟 #협찬 #asmr #mukbang #asmrmukbang #먹방 #떡볶이 #슈프림치킨 #맵슈프림치킨 #맵슈프림 #koreanfood,,홍지 HONGJI,2025-04-25,PT1M18S,4107,67,2,youtube
홍지_hongji_20250423,1,쫀득빵 좋아하면 일본 편의점에서 이거 꼭 먹기🥹 #asmr #mukbang #asmrmukbang #먹방 #편의점간식 #일본편의점 #일본디저트 #쫀득빵 #편의점빵,,홍지 HONGJI,2025-04-23,PT1M18S,2057,29,2,youtube
홍지_hongji_20250421,1,요거트월드 두바이초코가 젤 조아🍫 #asmr #mukbang #asmrmukbang #먹방 #요거트아이스크림 #두바이초콜릿 #두바이초코 #dubaichocolate #아이스크림,,홍지 HONGJI,2025-04-21,PT1M28S,1167,24,3,youtube
