KEYWORD_ID,KEYWORD_NAME,KEYWORDUP,MENTION_CNT
577,카페라떼,카페라떼,1
578,컨,컨,1
579,케로로빵,케로로빵,1
580,코볼,코볼,1
581,코스,코스,1
582,코스트코,코스트코,3
583,콩,콩,2
584,콩국,콩국,1
585,콩물,콩물,1
586,쿄호젤리,쿄호젤리,1
587,크리스피크림,크리스피크림,2
588,크림브륄레,크림브륄레,1
589,팬케익,팬케익,1
590,페티,페티,2
591,페페,페페,1
592,포테이토,포테이토,1
593,핫초코,핫초코,1
594,해물,해물,2
595,허니,허니,1
596,호박,호박,2
597,홍시,홍시,1
598,후라이팬,후라이팬,1
599,후식,후식,1
600,훠궈,훠궈,2
601,고래,고래,1
602,김치라면,김치라면,1
603,닭볶음탕,닭볶음탕,2
604,만두전골,만두전골,1
605,모밀,모밀,1
606,묵빵,묵빵,1
607,순두부,순두부,1
608,열라면,열라면,1
609,조개,조개,1
610,쫄면,쫄면,1
611,고등어,고등어,2
612,고래밥,고래밥,2
613,곰탕,곰탕,1
614,꽈자,꽈자,1
615,낙지,낙지,1
616,남탕,남탕,1
617,닭꼬치,닭꼬치,1
618,된장찌개,된장찌개,1
619,딸기탕후루,딸기탕후루,1
620,라시,라시,1
621,미역,미역,1
622,밀,밀,1
623,벌꿀,벌꿀,1
624,보리차,보리차,1
625,보쌈,보쌈,1
626,브레드,브레드,1
627,브로콜리,브로콜리,2
628,뼈,뼈,2
629,사발면,사발면,1
630,사시미,사시미,1
631,사자,사자,1
632,산낙지,산낙지,1
633,살수,살수,1
634,삼각김밥,삼각김밥,1
635,소고기,소고기,2
636,소시,소시,1
637,스크림,스크림,1
638,스폰지밥,스폰지밥,1
639,쌀국수,쌀국수,2
640,씨리얼,씨리얼,1
641,오뚜기,오뚜기,1
642,오리온,오리온,1
643,찜로,찜로,1
644,츠카,츠카,1
645,치맥,치맥,1
646,코바,코바,1
647,쿠키런,쿠키런,1
648,크런치,크런치,1
649,크런키,크런키,1
650,키바,키바,1
651,파가,파가,1
652,포케몬,포케몬,1
653,프라이,프라이,1
654,피리,피리,1
655,피즈,피즈,1
656,핫케이크,핫케이크,1
657,핫팩,핫팩,1
658,홍어,홍어,1
659,후르트텔,후르트텔,1
660,고라니,고라니,1
661,고자,고자,1
662,고추가,고추가,1
663,골뱅이,골뱅이,1
664,김치냉장고,김치냉장고,1
665,까치,까치,1
666,꽁초,꽁초,1
667,나물,나물,1
668,라바샥,라바샥,1
669,럭키,럭키,1
670,레베카,레베카,1
671,롤케이크,롤케이크,1
672,매실장아찌,매실장아찌,1
673,머그,머그,1
674,머치,머치,1
675,먹어보쟈,먹어보쟈,1
676,명란젓,명란젓,1
677,모나리자,모나리자,1
678,물건,물건,1
679,물밥,물밥,1
680,미역국,미역국,1
681,밀카,밀카,1
682,바세린,바세린,1
683,버거킹,버거킹,2
684,버터쿠키,버터쿠키,1
685,부대찌개,부대찌개,1
686,부리또,부리또,1
687,비스킷,비스킷,1
688,살사,살사,1
689,생굴,생굴,1
690,생활비,생활비,1
691,스네이크,스네이크,1
692,스튜,스튜,1
693,식기세척기,식기세척기,1
694,식성,식성,1
695,야자나무,야자나무,1
696,야자수,야자수,1
697,양동이,양동이,1
698,열대,열대,1
699,오일,오일,1
700,우럭,우럭,1
701,자살,자살,1
702,장아찌,장아찌,1
703,제비,제비,1
704,조식,조식,1
705,좁쌀,좁쌀,1
706,찬,찬,1
707,캐슈넛,캐슈넛,1
708,커리,커리,1
709,케잌,케잌,1
710,크레이프,크레이프,1
711,타코,타코,1
712,파니,파니,1
713,파자마파티,파자마파티,1
714,파채,파채,1
715,팥죽,팥죽,1
716,페르시아,페르시아,1
717,페타,페타,1
718,호두,호두,1
719,훈제,훈제,1
720,까르보불닭,까르보불닭,1
721,두산베어스,두산베어스,1
722,로투스도넛,로투스도넛,1
723,부추,부추,1
724,소보로빵,소보로빵,1
725,양과자,양과자,1
726,오리로,오리로,1
727,올리브,올리브,1
728,쿠토,쿠토,1
729,키친,키친,1
730,피스,피스,1
731,후라이드,후라이드,1
